title;url;first_letter
Brie-Comte-Robert;https://en.wikipedia.org/wiki/Category:Brie-Comte-Robert;B
Chasselay, Rhône;https://en.wikipedia.org/wiki/Category:Chasselay,_Rh%C3%B4ne;C
Trégunc;https://en.wikipedia.org/wiki/Category:Tr%C3%A9gunc;T
List of communes in France with over 20,000 inhabitants;https://en.wikipedia.org/wiki/List_of_communes_in_France_with_over_20,000_inhabitants;L
List of twin towns and sister cities in France;https://en.wikipedia.org/wiki/List_of_twin_towns_and_sister_cities_in_France;L
Aix-en-Provence;https://en.wikipedia.org/wiki/Aix-en-Provence;A
Amiens;https://en.wikipedia.org/wiki/Amiens;A
Angers;https://en.wikipedia.org/wiki/Angers;A
Annecy;https://en.wikipedia.org/wiki/Annecy;A
Argenteuil;https://en.wikipedia.org/wiki/Argenteuil;A
Avignon;https://en.wikipedia.org/wiki/Avignon;A
Beauvais;https://en.wikipedia.org/wiki/Beauvais;B
Besançon;https://en.wikipedia.org/wiki/Besan%C3%A7on;B
Bordeaux;https://en.wikipedia.org/wiki/Bordeaux;B
Boulogne-Billancourt;https://en.wikipedia.org/wiki/Boulogne-Billancourt;B
Brest, France;https://en.wikipedia.org/wiki/Brest,_France;B
Caen;https://en.wikipedia.org/wiki/Caen;C
Clermont-Ferrand;https://en.wikipedia.org/wiki/Clermont-Ferrand;C
Dijon;https://en.wikipedia.org/wiki/Dijon;D
Grenoble;https://en.wikipedia.org/wiki/Grenoble;G
Le Havre;https://en.wikipedia.org/wiki/Le_Havre;L
Lille;https://en.wikipedia.org/wiki/Lille;L
Limoges;https://en.wikipedia.org/wiki/Limoges;L
Lyon;https://en.wikipedia.org/wiki/Lyon;L
Le Mans;https://en.wikipedia.org/wiki/Le_Mans;L
Marseille;https://en.wikipedia.org/wiki/Marseille;M
Metz;https://en.wikipedia.org/wiki/Metz;M
Montpellier;https://en.wikipedia.org/wiki/Montpellier;M
Montreuil, Seine-Saint-Denis;https://en.wikipedia.org/wiki/Montreuil,_Seine-Saint-Denis;M
Mulhouse;https://en.wikipedia.org/wiki/Mulhouse;M
Nancy, France;https://en.wikipedia.org/wiki/Nancy,_France;N
Nantes;https://en.wikipedia.org/wiki/Nantes;N
Nice;https://en.wikipedia.org/wiki/Nice;N
Nîmes;https://en.wikipedia.org/wiki/N%C3%AEmes;N
Orléans;https://en.wikipedia.org/wiki/Orl%C3%A9ans;O
Paris;https://en.wikipedia.org/wiki/Paris;P
Perpignan;https://en.wikipedia.org/wiki/Perpignan;P
Reims;https://en.wikipedia.org/wiki/Reims;R
Rennes;https://en.wikipedia.org/wiki/Rennes;R
Rouen;https://en.wikipedia.org/wiki/Rouen;R
Saint-Denis, Réunion;https://en.wikipedia.org/wiki/Saint-Denis,_R%C3%A9union;S
Saint-Denis, Seine-Saint-Denis;https://en.wikipedia.org/wiki/Saint-Denis,_Seine-Saint-Denis;S
Saint-Étienne;https://en.wikipedia.org/wiki/Saint-%C3%89tienne;S
Saint-Paul, Réunion;https://en.wikipedia.org/wiki/Saint-Paul,_R%C3%A9union;S
Sélestat;https://en.wikipedia.org/wiki/S%C3%A9lestat;S
Strasbourg;https://en.wikipedia.org/wiki/Strasbourg;S
Toulon;https://en.wikipedia.org/wiki/Toulon;T
Toulouse;https://en.wikipedia.org/wiki/Toulouse;T
Tours;https://en.wikipedia.org/wiki/Tours;T
Vieux-Lille;https://en.wikipedia.org/wiki/Vieux-Lille;V
Villeurbanne;https://en.wikipedia.org/wiki/Villeurbanne;V
